,NCES_ID,district_name,district_type,total_population,median_household_income,total_household,white,black,hispanic_or_latino,asian,american_indian/alaskan_native,hawaiian_and_other_pacific_islander,some_other_race_alone,two_or_more_races,housing_structure_built_2000_and_after,housing_structure_built_1970-1999,housing_structure_built_before_1970,household_with_broadband_internet,housing_structure_type_house,housing_structure_type_apartment,speak_english_only_children,under18_with_disability,under18_with_health_insurance,family_income_below_poverty,married_couple_household,cohabitating_couple_household,female_householder_household,male_householder_household,parents_not_in_labor_force,bachelors_or_higher,district_urban_type,expenditure_per_student
0,601770,Alameda Unified,Unified,"78,522","$104,756","30,418",43%,7%,13%,30%,0%,0%,1%,6%,6.60%,31.30%,62.20%,90.40%,52.90%,47.30%,71.90%,5.10%,98.20%,9.80%,71%,5%,19%,5%,13.6,61.2,Suburb: Large (21),14325
1,601860,Albany City Unified,Unified,"19,862","$95,783","7,467",44%,3%,15%,29%,1%,0%,2%,6%,13%,23.30%,63.60%,83.80%,52.60%,47.30%,66.20%,1.90%,99.40%,6.50%,75%,5%,16%,4%,15.5,79.2,Suburb: Large (21),21087
2,604740,Berkeley Unified,Unified,"121,444","$85,444","45,337",53%,8%,11%,21%,0%,0%,0%,6%,5.30%,16.80%,77.90%,91.20%,45.80%,54.20%,80.90%,3.10%,98.70%,4.30%,68%,5%,21%,6%,11.8,74.3,City: Midsize (12),17532
3,607800,Castro Valley Unified,Unified,"50,946","$114,277","17,666",47%,5%,13%,30%,1%,0%,0%,5%,5.30%,39.20%,55.50%,92%,84%,16.10%,71.80%,4%,98.20%,7.90%,75%,5%,16%,5%,17.6,57.3,Suburb: Large (21),16312
4,612630,Emery Unified,Unified,"11,899","$102,725","6,568",40%,15%,10%,29%,0%,1%,0%,6%,33.20%,49.80%,16.90%,91.20%,13%,87%,67.50%,0%,100%,22.40%,47%,3%,47%,3%,17.6,56.5,Suburb: Large (21),23930
5,614400,Fremont Unified,Unified,"235,750","$133,339","75,692",20%,3%,13%,59%,0%,1%,0%,3%,7.70%,61.80%,30.40%,93.20%,71.60%,28.50%,46.80%,2.20%,99.30%,2.70%,87%,2%,8%,3%,18.7,69.7,Suburb: Large (21),13681
6,616740,Hayward Unified,Unified,"181,353","$86,336","56,217",18%,10%,39%,25%,0%,2%,0%,5%,10.70%,41.40%,47.90%,88.60%,63.20%,36.70%,40.90%,4.40%,97.70%,9.20%,63%,9%,23%,6%,20,19.4,Suburb: Large (21),15124
7,622110,Livermore Valley Joint Unified,Unified,"92,452","$127,200","32,737",62%,2%,20%,12%,0%,0%,0%,4%,17.60%,48.30%,34.20%,92.70%,82%,18%,80.10%,3.90%,98.80%,4.80%,80%,5%,11%,4%,12.5,52.9,City: Small (13),13196
8,626130,Mountain House Elementary,Elementary,286,"$100,625",86,84%,0%,14%,1%,0%,0%,0%,0%,5.10%,30.50%,64.50%,82.60%,90.70%,9.30%,,,,,,,,,,,Rural: Fringe (41),30050
9,627060,Newark Unified,Unified,"47,171","$116,856","14,047",24%,4%,35%,33%,0%,1%,0%,3%,7.40%,51.30%,41.20%,92.90%,79.20%,20.70%,47.80%,2.60%,99%,4.90%,76%,4%,12%,7%,18.2,22.1,Suburb: Large (21),13697
