OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictNa,DistrictTy,GradeLow,GradeHigh,GradeLowCe,GradeHighC,AssistStat,CongressUS,SenateCA,AssemblyCA,LocaleDist,UpdateNote,EnrollTota,EnrollChar,EnrollNonC,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,MRcount,MRpct,PIcount,PIpct,WHcount,WHpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,UPcount,UPpct,ELATested,ELAStdMetP,MathTested,MathStdMet,CCPrepCoho,CCPrepPct,AbsentElig,AbsentPct,GradCohort,GradPct,UCCSUReqMe,DropOutPct,EnrollCumu,SuspPct,SHAPE_Leng,SHAPE_Area
1,2018-19,601770,161119,1.61119E+12,Alameda,Alameda Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,9,18,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,11260,1877,9383,825,7.300000191,28,0.200000003,2854,25.29999924,683,6.099999905,1960,17.39999962,1310,11.60000038,67,0.600000024,3244,28.79999924,289,2.599999905,1601,14.19999981,26,0.200000003,67,0.600000024,0,0,1289,11.39999962,3523,31.29999924,3144,33.5,4567,69.40000153,4587,59.70000076,773,56.79999924,11453,9.399999619,882,88.90000153,58.90000153,5.199999809,11600,2.599999905,57196.40394,47333036.92
2,2018-19,601860,161127,1.61127E+12,Alameda,Albany City Unified,Unified,KG,12,KG,12,General Assistance,13,9,15,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,3682,0,3682,111,3,4,0.100000001,1063,28.89999962,47,1.299999952,592,16.10000038,510,13.89999962,6,0.200000003,1163,31.60000038,186,5.099999905,583,15.80000019,2,0.100000001,12,0.300000012,0,0,312,8.5,777,21.10000038,1118,30.39999962,1773,79.19999695,1795,72,302,62.59999847,3763,6.400000095,301,94.69999695,63.90000153,1.700000048,3830,1.899999976,12870.77216,7161276.076
3,2018-19,604740,161143,1.61143E+12,Alameda,Berkeley Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,9,15,"12 - City, Midsize",2018-19 District Boundary Adjustment/Correction,10194,383,9811,1440,14.10000038,16,0.200000003,731,7.199999809,83,0.800000012,2438,23.89999962,1465,14.39999962,14,0.100000001,3999,39.20000076,8,0.100000001,953,9.300000191,23,0.200000003,265,2.599999905,0,0,1148,11.30000019,3331,32.70000076,3275,33.40000153,4614,66.69999695,4549,61.70000076,790,63.29999924,10404,9.699999809,856,87.40000153,83.30000305,10.69999981,10534,1.399999976,44426.28741,43763892.62
4,2018-19,607800,161150,1.6115E+12,Alameda,Castro Valley Unified,Unified,KG,12,KG,12,General Assistance,"13,15","07,09,10","18,20","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,9269,0,9269,489,5.300000191,19,0.200000003,2539,27.39999962,420,4.5,2204,23.79999924,909,9.800000191,47,0.5,2480,26.79999924,162,1.700000048,1021,11,12,0.100000001,68,0.699999988,0,0,800,8.600000381,2284,24.60000038,2739,29.60000038,4844,68.09999847,4850,63.20000076,737,57.09999847,9433,7.400000095,742,92.59999847,55.90000153,3,9532,2.200000048,142338.4941,283320488.8
5,2018-19,612630,161168,1.61168E+12,Alameda,Emery Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,9,15,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,743,0,743,326,43.90000153,1,0.100000001,83,11.19999981,11,1.5,185,24.89999962,62,8.300000191,8,1.100000024,67,9,0,0,160,21.5,1,0.100000001,7,0.899999976,0,0,55,7.400000095,600,80.80000305,613,83.09999847,376,37.09999847,377,23.29999924,40,22.5,760,20.5,40,100,40,0,780,3.599999905,13762.86929,5368211.514
6,2018-19,614400,161176,1.61176E+12,Alameda,Fremont Unified,Unified,KG,12,KG,12,Differentiated Assistance,"15,17",10,"20,25","21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,35544,368,35176,683,1.899999976,85,0.200000003,22749,64,1823,5.099999905,5149,14.5,998,2.799999952,208,0.600000024,3716,10.5,133,0.400000006,4666,13.10000038,23,0.100000001,190,0.5,69,0.200000003,3333,9.399999619,7332,20.60000038,9733,27.70000076,18260,78.40000153,18312,73.90000153,2414,71.80000305,36319,5.5,2484,92.90000153,55.79999924,5.5,36814,1.700000048,164514.7906,320337965.4
7,2018-19,616740,161192,1.61192E+12,Alameda,Hayward Unified,Unified,KG,12,KG,12,Differentiated Assistance,15,10,20,"12 - City, Midsize",2018-19 District Boundary Adjustment/Correction,22376,2467,19909,1884,8.399999619,52,0.200000003,1809,8.100000381,1570,7,14444,64.59999847,772,3.5,719,3.200000048,1074,4.800000191,52,0.200000003,6250,27.89999962,64,0.300000012,759,3.400000095,389,1.700000048,2395,10.69999981,16285,72.80000305,15484,77.80000305,10410,36.90000153,10545,25.39999962,1286,35.40000153,23138,14.89999962,1585,83.90000153,52.59999847,9.699999809,23555,4.599999905,87111.96972,143074522.6
8,2018-19,622110,161200,1.612E+12,Alameda,Livermore Valley Joint Unified,Unified,KG,12,KG,12,General Assistance,"11,15",7,"14,16,20","23 - Suburban, Small",2018-19 District Boundary Adjustment/Correction,13738,0,13738,202,1.5,37,0.300000012,1216,8.899999619,422,3.099999905,4252,31,1127,8.199999809,37,0.300000012,6429,46.79999924,16,0.100000001,1458,10.60000038,12,0.100000001,67,0.5,192,1.399999976,1795,13.10000038,3529,25.70000076,3794,27.60000038,6996,62.90000153,7005,50.20000076,1116,54.40000153,13721,5.099999905,1126,94.09999847,48.5,2.299999952,13870,3,206097.4075,1104155550
9,2018-19,626130,161218,1.61218E+12,Alameda,Mountain House Elementary,Elementary,KG,8,KG,8,General Assistance,15,7,16,"41 - Rural, Fringe",2018-19 District Boundary Adjustment/Correction,17,0,17,0,0,1,5.900000095,0,0,0,0,7,41.20000076,1,5.900000095,4,23.5,4,23.5,0,0,6,35.29999924,0,0,0,0,0,0,2,11.80000019,11,64.69999695,11,64.69999695,12,25,12,8.300000191,,,21,33.29999924,,,,,21,0,55768.4594,124796523.3
10,2018-19,627060,161234,1.61234E+12,Alameda,Newark Unified,Unified,KG,12,KG,12,Differentiated Assistance,17,10,25,"21 - Suburban, Large",2018-19 District Boundary Adjustment/Correction,5758,0,5758,201,3.5,14,0.200000003,841,14.60000038,501,8.699999809,3076,53.40000153,262,4.599999905,109,1.899999976,718,12.5,36,0.600000024,1298,22.5,7,0.100000001,151,2.599999905,93,1.600000024,684,11.89999962,2918,50.70000076,3190,55.79999924,2916,47.5,2924,38.09999847,466,35,5913,6.699999809,471,87,33.20000076,7.400000095,5997,3.700000048,39914.3924,58021105.01
