CDS,CCode,CDCode,SCode,RType,SName,DName,CName,Enroll12,NumTSTTakr12,NumERWBenchmark12,PctERWBenchmark12,NumMathBenchmark12,PctMathBenchmark12,TotNumBothBenchmark12,PctBothBenchmark12,Enroll11,NumTSTTakr11,NumERWBenchmark11,PctERWBenchmark11,NumMathBenchmark11,PctMathBenchmark11,TotNumBothBenchmark11,PctBothBenchmark11,Year
6.61598E+12,6,661598,630046,S,Colusa Alternative Home,Colusa Unified,Colusa,18,0,N/A,N/A,N/A,N/A,N/A,N/A,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
6.61606E+12,6,661606,634758,S,Maxwell Sr High,Maxwell Unified,Colusa,29,10,*,*,*,*,*,*,26,6,*,*,*,*,*,*,2018-19
1.96473E+13,19,1964733,1930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,31,30.39,14,13.73,14,13.73,219,174,42,24.14,12,6.9,11,6.32,2018-19
1.96473E+13,19,1964733,1931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,54,47.79,18,15.93,18,15.93,333,275,97,35.27,37,13.45,35,12.73,2018-19
1.96473E+13,19,1964733,1931856,S,Whitman Continuation,Los Angeles Unified,Los Angeles,18,14,*,*,*,*,*,*,17,5,*,*,*,*,*,*,2018-19
1.96473E+13,19,1964733,6061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,68,64.15,36,33.96,36,33.96,187,183,91,49.73,47,25.68,44,24.04,2018-19
3.07364E+13,30,3073635,3034956,S,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,161,84.74,138,72.63,132,69.47,503,223,206,92.38,176,78.92,172,77.13,2018-19
3.36722E+13,33,3367215,3336955,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,114,17,3,17.65,2,11.76,2,11.76,83,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.36311E+13,13,1363107,1332501,S,Calipatria High,Calipatria Unified,Imperial,91,27,14,51.85,6,22.22,5,18.52,92,11,*,*,*,*,*,*,2018-19
1.96473E+13,19,1964733,119685,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,17,25,6,8.82,6,8.82,79,79,22,27.85,10,12.66,6,7.59,2018-19
3.36703E+13,33,3367033,3331600,S,Corona High,Corona-Norco Unified,Riverside,581,204,148,72.55,88,43.14,82,40.2,572,168,128,76.19,84,50,78,46.43,2018-19
3.66783E+13,36,3667827,111807,S,Mojave River Academy,Oro Grande,San Bernardino,7,1,*,*,*,*,*,*,3,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.56378E+13,15,1563776,1530377,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,N/A,N/A,N/A,N/A,N/A,N/A,27,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.96463E+13,19,1964634,1996586,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,45,66.18,30,44.12,29,42.65,163,122,72,59.02,36,29.51,36,29.51,2018-19
1.96473E+13,19,1964733,1930387,S,Central High,Los Angeles Unified,Los Angeles,104,4,*,*,*,*,*,*,156,18,2,11.11,1,5.56,1,5.56,2018-19
3.36718E+13,33,3367181,3335759,S,Palo Verde High,Palo Verde Unified,Riverside,174,38,27,71.05,13,34.21,12,31.58,207,56,35,62.5,19,33.93,19,33.93,2018-19
3.67505E+13,36,3675051,3630563,S,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36,7,*,*,*,*,*,*,57,8,*,*,*,*,*,*,2018-19
3.67508E+13,36,3675077,3630423,S,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,150,80.65,70,37.63,67,36.02,509,226,172,76.11,91,40.27,86,38.05,2018-19
3.76834E+13,37,3768338,6061964,S,The O'Farrell Charter,San Diego Unified,San Diego,125,64,44,68.75,33,51.56,28,43.75,127,114,77,67.54,47,41.23,47,41.23,2018-19
1.06212E+13,10,1062117,1030469,S,Enterprise Alternative,Clovis Unified,Fresno,18,0,N/A,N/A,N/A,N/A,N/A,N/A,15,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
1.06212E+13,10,1062117,1030683,S,Clovis East High,Clovis Unified,Fresno,584,237,161,67.93,103,43.46,94,39.66,635,191,162,84.82,134,70.16,128,67.02,2018-19
3.36709E+13,33,3367090,127720,S,Rivercrest Preparatory,Jurupa Unified,Riverside,31,1,*,*,*,*,*,*,33,2,*,*,*,*,*,*,2018-19
3.96868E+13,39,3968676,108159,S,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,96,50,50,26.04,39,20.31,546,108,61,56.48,48,44.44,41,37.96,2018-19
1.96473E+13,19,1964733,1938885,S,University High School Charter,Los Angeles Unified,Los Angeles,336,193,121,62.69,82,42.49,76,39.38,307,315,194,61.59,117,37.14,110,34.92,2018-19
1.96473E+13,19,1964733,1996115,S,City of Angels,Los Angeles Unified,Los Angeles,292,23,14,60.87,7,30.43,7,30.43,352,83,46,55.42,16,19.28,16,19.28,2018-19
1.97566E+13,19,1975663,6120158,S,New West Charter,SBE - New West Charter,Los Angeles,90,47,43,91.49,33,70.21,32,68.09,91,41,39,95.12,32,78.05,32,78.05,2018-19
1.97571E+13,19,1975713,1934553,S,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,241,89.59,230,85.5,215,79.93,560,285,264,92.63,259,90.88,250,87.72,2018-19
2.96636E+13,29,2966357,2935500,S,Nevada Union High,Nevada Joint Union High,Nevada,353,89,78,87.64,64,71.91,62,69.66,380,89,83,93.26,77,86.52,77,86.52,2018-19
3.07365E+13,30,3073650,3035102,S,University High,Irvine Unified,Orange,633,205,189,92.2,185,90.24,179,87.32,551,268,263,98.13,264,98.51,259,96.64,2018-19
4.16892E+13,41,4168924,4137790,S,Westmoor High,Jefferson Union High,San Mateo,395,344,213,61.92,169,49.13,153,44.48,383,74,70,94.59,70,94.59,69,93.24,2018-19
7.61796E+12,7,761796,735316,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,117,46.99,60,24.1,58,23.29,291,54,47,87.04,32,59.26,31,57.41,2018-19
1.26304E+13,12,1263040,1237007,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50,13,*,*,*,*,*,*,42,13,*,*,*,*,*,*,2018-19
1.96425E+13,19,1964246,100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,112,67.47,50,30.12,46,27.71,686,637,269,42.23,113,17.74,107,16.8,2018-19
1.96425E+13,19,1964246,1930213,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,83,37,44.58,9,10.84,8,9.64,377,299,72,24.08,25,8.36,20,6.69,2018-19
1.96487E+13,19,1964873,1936749,S,Paramount High,Paramount Unified,Los Angeles,1135,932,352,37.77,185,19.85,158,16.95,1196,1058,393,37.15,193,18.24,165,15.6,2018-19
3.17509E+13,31,3175085,128561,S,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42,2,*,*,*,*,*,*,36,14,*,*,*,*,*,*,2018-19
3.76816E+13,37,3768163,137109,S,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78,0,N/A,N/A,N/A,N/A,N/A,N/A,183,1,*,*,*,*,*,*,2018-19
4.16905E+13,41,4169047,4134557,S,Mills High,San Mateo Union High,San Mateo,299,147,137,93.2,132,89.8,126,85.71,309,157,147,93.63,144,91.72,140,89.17,2018-19
4.16907E+13,41,4169070,4137279,S,South San Francisco High,South San Francisco Unified,San Mateo,292,86,71,82.56,53,61.63,51,59.3,336,56,45,80.36,41,73.21,40,71.43,2018-19
1.612E+12,1,161200,133397,S,Granada High,Livermore Valley Joint Unified,Alameda,567,178,157,88.2,143,80.34,132,74.16,565,208,200,96.15,193,92.79,188,90.38,2018-19
1.16265E+13,11,1162646,1136209,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,3,*,*,*,*,*,*,15,2,*,*,*,*,*,*,2018-19
1.9102E+13,19,1910199,115212,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,17,10,58.82,6,35.29,6,35.29,38,17,14,82.35,5,29.41,5,29.41,2018-19
1.9102E+13,19,1910199,121954,S,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,20,1,*,*,*,*,*,*,16,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-19
3.46731E+13,34,3467314,3430352,S,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64,0,N/A,N/A,N/A,N/A,N/A,N/A,33,1,*,*,*,*,*,*,2018-19
